"","Resultat","Kon","Alder","Utbildare"
"139",TRUE,"Man",18,"Privatist"
"140",TRUE,"Man",18,"Privatist"
"141",TRUE,"Kvinna",18,"Privatist"
"142",FALSE,"Kvinna",18,"Trafikskola"
"143",TRUE,"Man",18,"Trafikskola"
"144",TRUE,"Man",18,"Privatist"
"145",FALSE,"Man",18,"Trafikskola"
"146",FALSE,"Man",18,"Trafikskola"
"147",TRUE,"Kvinna",18,"Trafikskola"
"148",TRUE,"Man",18,"Privatist"
"149",TRUE,"Man",18,"Privatist"
"150",TRUE,"Kvinna",18,"Trafikskola"
"151",TRUE,"Man",18,"Trafikskola"
"152",TRUE,"Man",18,"Trafikskola"
"153",TRUE,"Man",18,"Privatist"
"154",TRUE,"Man",18,"Privatist"
"155",TRUE,"Man",18,"Privatist"
"156",TRUE,"Man",18,"Privatist"
"157",FALSE,"Kvinna",18,"Privatist"
"158",FALSE,"Man",18,"Privatist"
"159",TRUE,"Man",18,"Privatist"
"160",TRUE,"Man",18,"Trafikskola"
"161",TRUE,"Man",18,"Privatist"
"162",TRUE,"Man",18,"Privatist"
"163",TRUE,"Kvinna",18,"Privatist"
"164",FALSE,"Kvinna",18,"Privatist"
"165",TRUE,"Man",18,"Privatist"
"166",TRUE,"Man",18,"Trafikskola"
"167",FALSE,"Man",18,"Trafikskola"
"168",TRUE,"Man",18,"Trafikskola"
"169",TRUE,"Kvinna",18,"Trafikskola"
"170",TRUE,"Kvinna",18,"Privatist"
"171",FALSE,"Kvinna",18,"Privatist"
"172",TRUE,"Man",18,"Privatist"
"173",TRUE,"Man",18,"Privatist"
"174",TRUE,"Kvinna",18,"Privatist"
"175",TRUE,"Kvinna",18,"Privatist"
"176",TRUE,"Man",18,"Trafikskola"
"177",TRUE,"Kvinna",18,"Privatist"
"178",TRUE,"Man",18,"Trafikskola"
"179",FALSE,"Kvinna",18,"Trafikskola"
"180",TRUE,"Man",18,"Privatist"
"181",FALSE,"Man",18,"Privatist"
"182",FALSE,"Kvinna",18,"Privatist"
"183",FALSE,"Kvinna",18,"Privatist"
"184",TRUE,"Kvinna",18,"Privatist"
"185",FALSE,"Kvinna",18,"Trafikskola"
"186",FALSE,"Man",18,"Privatist"
"187",TRUE,"Man",18,"Privatist"
"188",TRUE,"Kvinna",18,"Trafikskola"
"189",FALSE,"Kvinna",18,"Trafikskola"
"190",FALSE,"Kvinna",18,"Trafikskola"
"191",FALSE,"Man",18,"Trafikskola"
"192",TRUE,"Kvinna",18,"Privatist"
"193",FALSE,"Kvinna",18,"Privatist"
"194",FALSE,"Kvinna",18,"Privatist"
"195",FALSE,"Man",18,"Privatist"
"196",TRUE,"Man",18,"Privatist"
"197",TRUE,"Man",18,"Trafikskola"
"198",TRUE,"Kvinna",18,"Privatist"
"199",FALSE,"Man",18,"Privatist"
"200",TRUE,"Kvinna",18,"Privatist"
"201",TRUE,"Kvinna",18,"Trafikskola"
"202",FALSE,"Kvinna",18,"Privatist"
"203",FALSE,"Kvinna",18,"Privatist"
"204",TRUE,"Man",18,"Privatist"
"205",TRUE,"Man",18,"Privatist"
"206",FALSE,"Kvinna",18,"Privatist"
"207",FALSE,"Man",18,"Trafikskola"
"208",FALSE,"Man",18,"Privatist"
"209",FALSE,"Man",18,"Privatist"
"210",FALSE,"Man",18,"Privatist"
"211",FALSE,"Man",18,"Trafikskola"
"212",TRUE,"Man",18,"Trafikskola"
"213",FALSE,"Man",18,"Privatist"
"214",FALSE,"Kvinna",18,"Privatist"
"215",TRUE,"Kvinna",18,"Trafikskola"
"216",TRUE,"Kvinna",18,"Privatist"
"217",TRUE,"Man",18,"Privatist"
"218",FALSE,"Man",18,"Trafikskola"
"219",FALSE,"Kvinna",18,"Privatist"
"220",TRUE,"Man",18,"Trafikskola"
"221",TRUE,"Kvinna",18,"Privatist"
"222",FALSE,"Kvinna",18,"Trafikskola"
"223",FALSE,"Man",18,"Privatist"
"224",TRUE,"Kvinna",18,"Trafikskola"
"225",FALSE,"Man",18,"Privatist"
"226",TRUE,"Man",18,"Privatist"
"227",FALSE,"Man",18,"Trafikskola"
"228",FALSE,"Man",18,"Privatist"
"229",FALSE,"Man",18,"Privatist"
"230",TRUE,"Man",18,"Trafikskola"
"231",TRUE,"Man",18,"Trafikskola"
"232",FALSE,"Kvinna",18,"Trafikskola"
"233",TRUE,"Man",18,"Privatist"
"234",FALSE,"Kvinna",18,"Privatist"
"235",TRUE,"Kvinna",18,"Privatist"
"236",TRUE,"Man",18,"Privatist"
"237",TRUE,"Kvinna",18,"Privatist"
"238",TRUE,"Man",18,"Trafikskola"
"239",TRUE,"Kvinna",18,"Trafikskola"
"240",TRUE,"Man",18,"Trafikskola"
"241",TRUE,"Man",18,"Trafikskola"
"242",TRUE,"Man",18,"Privatist"
"243",TRUE,"Man",18,"Privatist"
"244",TRUE,"Kvinna",18,"Privatist"
"245",TRUE,"Man",18,"Trafikskola"
"246",FALSE,"Man",18,"Privatist"
"247",FALSE,"Man",18,"Trafikskola"
"248",TRUE,"Kvinna",18,"Trafikskola"
"249",FALSE,"Man",18,"Trafikskola"
"250",TRUE,"Man",18,"Trafikskola"
"251",FALSE,"Kvinna",18,"Privatist"
"252",FALSE,"Man",18,"Privatist"
"253",TRUE,"Kvinna",18,"Trafikskola"
"254",TRUE,"Man",18,"Trafikskola"
"255",TRUE,"Man",18,"Trafikskola"
"256",TRUE,"Man",18,"Trafikskola"
"257",TRUE,"Man",18,"Privatist"
"258",FALSE,"Kvinna",18,"Privatist"
"259",TRUE,"Man",18,"Trafikskola"
"260",FALSE,"Kvinna",18,"Privatist"
"261",TRUE,"Kvinna",18,"Trafikskola"
"262",TRUE,"Man",18,"Privatist"
"263",FALSE,"Man",18,"Trafikskola"
"264",FALSE,"Man",18,"Privatist"
"265",FALSE,"Kvinna",18,"Privatist"
"266",FALSE,"Kvinna",18,"Trafikskola"
"267",FALSE,"Kvinna",18,"Privatist"
